Id,mean_exam_points
10000,52.81099179805193
10001,65.80998621983474
10002,60.47283745115058
10003,88.29096466776333
10004,93.98027884406393
10005,56.962330320508556
10006,59.336112891942115
10007,53.93872662126119
10008,60.543289829203836
10009,73.04675441336855
10010,54.679832833307614
10011,57.27044316439702
10012,64.02597608839737
10013,72.45502211522107
10014,63.65948340311031
10015,58.317479805521025
10016,79.76225312775715
10017,55.54487880929659
10018,58.89606570035477
10019,52.59371503544382
10020,70.29470199865516
10021,61.62317241940529
10022,64.39597305995028
10023,56.19151595949424
10024,57.31457243023736
10025,68.05641413668239
10026,54.11955326199115
10027,53.93872662126119
10028,59.214200071211245
10029,58.10015958690167
10030,69.32504955098122
10031,57.07951290550197
10032,60.348985917735654
10033,54.679832833307614
10034,61.29983586856787
10035,71.07649294115647
10036,58.775308866405865
10037,77.62091829311241
10038,54.23111207173292
10039,84.65771740344672
10040,85.96822251936817
10041,56.98465908003
10042,60.66752296816974
10043,57.93634627969375
10044,56.19123866328841
10045,62.18536014919071
10046,62.137645528224596
10047,60.348985917735654
10048,58.8740976388117
10049,72.45502211522107
10050,59.53427350632929
10051,97.27841500395216
10052,54.79250189113489
10053,59.481532112053
10054,59.017060263339594
10055,43.22954896026372
10056,72.33461273908233
10057,54.049926910125365
10058,61.575870302405264
10059,84.96687083678182
10060,63.65948340311031
10061,58.5345066871289
10062,56.19151595949424
10063,52.702245607605455
10064,61.371209785065595
10065,53.93872662126119
10066,60.643514710050326
10067,72.3078889033378
10068,54.97607968365178
10069,47.68987766950012
10070,60.745308422995805
10071,58.850769475453355
10072,53.5371887968499
10073,51.599421070548615
10074,63.87142895792369
10075,56.845098239215496
10076,72.04109305456568
10077,58.17478910367944
10078,56.86766339223299
10079,70.4379451201704
10080,58.850769475453355
10081,49.485946734228406
10082,87.64994367753334
10083,73.01810098755851
10084,58.798608363470684
10085,51.45326886455071
10086,79.66149219125907
10087,72.51025140194893
10088,60.271686263499724
10089,85.68741955959892
10090,51.38694831122142
10091,62.31281385512549
10092,58.5345066871289
10093,63.011288389114604
10094,65.5413797798868
10095,57.455239034671344
10096,88.75832334866011
10097,63.011288389114604
10098,73.2883254508856
10099,55.54487880929659
10100,73.2883254508856
10101,58.10015958690167
10102,54.8630477663814
10103,64.13318918710685
10104,58.798608363470684
10105,67.4503269099979
10106,55.018509873802216
10107,51.28102838142779
10108,58.798608363470684
10109,61.34693517102166
10110,57.07951290550197
10111,59.58007360625793
10112,63.87142895792369
10113,54.8630477663814
10114,51.513597120182595
10115,69.63543592851113
10116,61.34693517102166
10117,75.65062589833956
10118,61.29983586856787
10119,52.16148292820393
10120,62.80206961773249
10121,66.40856978659939
10122,88.82519034648006
10123,57.862010117146646
10124,59.481532112053
10125,72.13271512295442
10126,62.90586690945755
10127,57.27044316439702
10128,55.018509873802216
10129,54.90539410301669
10130,70.93201705421176
10131,58.73010165004159
10132,59.53427350632929
10133,73.25958223373907
10134,76.36373575213918
10135,83.09317355536518
10136,68.67409553104068
10137,54.679832833307614
10138,73.2883254508856
10139,63.65948340311031
10140,58.850769475453355
10141,64.0512625976936
10142,74.7057460045753
10143,47.352219798084825
10144,60.271686263499724
10145,55.430723225350334
10146,58.197860358737884
10147,56.53918218430087
10148,65.91852210297534
10149,57.27044316439702
10150,79.17922177002956
10151,63.011288389114604
10152,89.003793726413
10153,62.33745375412592
10154,59.603678655863526
10155,63.011288389114604
10156,57.07951290550197
10157,59.092818260611615
10158,58.97167487059875
10159,60.02471869333898
10160,61.34693517102166
10161,71.07649294115647
10162,63.16384773030851
10163,53.93872662126119
10164,63.920414501016445
10165,77.55303464962924
10166,72.06938285957919
10167,55.15348883230327
10168,72.8055830788465
10169,57.98096760007668
10170,54.679832833307614
10171,54.679832833307614
10172,55.84562748076408
10173,62.80206961773249
10174,57.27044316439702
10175,56.19151595949424
10176,63.78982158554244
10177,52.96209284263033
10178,55.61635532137452
10179,54.34289201902976
10180,71.31188068218815
10181,56.19151595949424
10182,63.52908762523511
10183,59.603678655863526
10184,71.83127254806121
10185,62.13006826117794
10186,49.01500604373331
10187,81.65846279878673
10188,54.79250189113489
10189,58.437334943862886
10190,84.04147106976565
10191,65.16510669917578
10192,72.5739509803516
10193,75.65062589833956
10194,73.04675441336855
10195,61.14412079332454
10196,55.65926024128819
10197,61.47274546963095
10198,60.148229124505136
10199,59.481532112053
10200,54.679832833307614
10201,54.679832833307614
10202,59.77901444503817
10203,75.00990528932789
10204,63.011288389114604
10205,54.8630477663814
10206,60.271686263499724
10207,67.83915822030241
10208,69.4937437889465
10209,55.77386793002894
10210,83.70288616075547
10211,72.13271512295442
10212,70.12416077452622
10213,74.18714320944609
10214,56.379594364163964
10215,58.850769475453355
10216,70.12416077452622
10217,56.61188699762975
10218,60.41930018850099
10219,55.96060373891431
10220,62.77725425896307
10221,56.962330320508556
10222,59.04045158664872
10223,58.53421830717173
10224,74.88683373721774
10225,56.750898265238746
10226,51.986958543267
10227,60.76794464385541
10228,56.30717599597159
10229,53.93872662126119
10230,70.29470199865516
10231,72.4265887731519
10232,57.93634627969375
10233,59.481532112053
10234,86.48927332271916
10235,55.84562748076408
10236,54.16134768456967
10237,57.93634627969375
10238,59.457973397958206
10239,71.68534102594388
10240,58.8740976388117
10241,89.003793726413
10242,57.862010117146646
10243,54.049926910125365
10244,57.27044316439702
10245,70.93201705421176
10246,60.72127070826402
10247,80.08542986154976
10248,60.72127070826402
10249,72.13271512295442
10250,71.16695065942635
10251,57.743286717805496
10252,57.21962596462264
10253,68.05641413668239
10254,55.65926024128819
10255,58.654789336724825
10256,59.092818260611615
10257,63.011288389114604
10258,54.384852294788836
10259,59.04045158664872
10260,59.65652377656506
10261,69.77740257809072
10262,60.271686263499724
10263,71.31188068218815
10264,54.23111207173292
10265,55.54487880929659
10266,57.43245020342974
10267,69.91964421079238
10268,72.45502211522107
10269,72.06938285957919
10270,80.73588009393809
10271,53.138528021126554
10272,53.64759262477874
10273,74.15806619165043
10274,61.47274546963095
10275,60.47283745115058
10276,59.336112891942115
10277,64.42139900316533
10278,58.8740976388117
10279,60.79200003862736
10280,62.00297188229504
10281,71.24923238767889
10282,56.30717599597159
10283,78.7598094412692
10284,58.2426747868934
10285,56.30717599597159
10286,55.15376120706511
10287,58.055450308218184
10288,59.53427350632929
10289,62.28962759397029
10290,90.01516943352983
10291,54.79250189113489
10292,56.53918218430087
10293,53.427003606394784
10294,73.2883254508856
10295,53.427003606394784
10296,62.31281385512549
10297,58.8740976388117
10298,55.68137320704625
10299,59.481532112053
10300,61.59880250132086
10301,68.53459905497826
10302,71.36628308365837
10303,50.79361515644896
10304,101.8186331326716
10305,70.93201705421176
10306,60.148229124505136
10307,77.71024756815741
10308,57.93634627969375
10309,54.16134768456967
10310,60.59693223702806
10311,58.67804304368893
10312,55.96060373891431
10313,81.49372974544661
10314,59.53427350632929
10315,72.3078889033378
10316,54.16134768456967
10317,60.271686263499724
10318,52.832015425887334
10319,75.74658993052574
10320,58.91941106949693
10321,81.00140569603175
10322,55.33850205674244
10323,72.06938285957919
10324,55.730878144800855
10325,59.481532112053
10326,55.54487880929659
10327,72.06938285957919
10328,60.271686263499724
10329,60.869938202106155
10330,70.64355620339799
10331,57.624512901297734
10332,56.30717599597159
10333,77.46387604225153
10334,85.7953322982848
10335,62.80206961773249
10336,61.29983586856787
10337,67.47690095298402
10338,54.8630477663814
10339,54.8630477663814
10340,71.89475717514652
10341,57.93634627969375
10342,96.383961844439
10343,72.13271512295442
10344,56.962330320508556
10345,63.14035900285554
10346,68.7619823101159
10347,58.17478910367944
10348,60.51932862403541
10349,68.62198038656615
10350,61.55151827347518
10351,58.414172681022606
10352,69.55492524066217
10353,53.427003606394784
10354,63.65948340311031
10355,70.12416077452622
10356,78.7598094412692
10357,60.79200003862736
10358,63.14035900285554
10359,59.82499484254418
10360,60.745308422995805
10361,63.65948340311031
10362,62.05815564647374
10363,63.011288389114604
10364,57.5062569698118
10365,56.379594364163964
10366,58.602506013962454
10367,54.8630477663814
10368,64.02597608839737
10369,70.93201705421176
10370,72.13271512295442
10371,74.33789704696
10372,56.30717599597159
10373,54.679832833307614
10374,65.67571306126399
10375,54.049926910125365
10376,68.11639170509835
